STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,15-9-1938,0,0,0,,23.3,13.9
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,16-9-1938,0,0,0,,18.3,10.6
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,17-9-1938,6.6,0,0,,25,11.1
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,18-9-1938,0,0,0,,15.6,9.4
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,19-9-1938,0.3,0,0,,17.2,5.6
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,20-9-1938,0,0,0,,19.4,10.6
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,21-9-1938,0,0,0,,21.7,8.3
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,22-9-1938,0,0,0,,27.8,8.9
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,23-9-1938,0,0,0,,32.2,15
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,24-9-1938,0,0,0,,33.9,13.9
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,25-9-1938,0,0,0,,31.1,13.9
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,26-9-1938,0,0,0,,31.7,15.6
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,27-9-1938,0,0,0,,27.2,14.4
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,28-9-1938,0,0,0,,26.1,9.4
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,29-9-1938,0,0,0,,27.2,10
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,30-9-1938,0,0,0,,31.1,13.9
USW00013994,"ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US",38.75246,-90.37342,162,1-10-1938,0,0,0,,25.6,12.2
